mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
0.015,0.005,0.006,0.015,0.024,0.015,0,1.51130646157189,0.601803605406492,2.42903178906215,0.9993,BAEA,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
0.029,0.027,-0.024,0.028,0.082,0.027,0,2.94245944751308,-2.37142902420907,8.5455809829549,0.8823,NOHA,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3061,4537,Northern Harrier,Busard des marais
-0.054,0.021,-0.095,-0.054,-0.014,-0.054,0,-5.25678934982017,-9.06270655317686,-1.39024557371381,0.9954,NOHA,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3061,4537,Northern Harrier,Busard des marais
0.029,0.042,-0.042,0.025,0.125,0.018,0,2.94245944751308,-4.11302194275155,13.3148453066826,0.7865,NOHA,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3061,4537,Northern Harrier,Busard des marais
-0.024,0.036,-0.114,-0.018,0.03,-0.012,0,-2.37142902420907,-10.7742044117592,3.04545339535169,0.7695,SSHA,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,M,3100,4603,Sharp-shinned Hawk,Épervier brun
-0.26,0.237,-0.834,-0.229,0.112,-0.179,0,-22.8948414196434,-56.5691427076005,11.8512860645045,0.9119,SSHA,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,M,3100,4603,Sharp-shinned Hawk,Épervier brun
-0.053,0.053,-0.186,-0.045,0.026,-0.032,0,-5.16199875177018,-16.9726405018067,2.6340948473442,0.8916,SSHA,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,M,3100,4603,Sharp-shinned Hawk,Épervier brun
0,0.043,-0.101,0.003,0.074,0.006,0,0,-9.60669671141359,7.68068054962199,0.4715,MERL,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,3580,6483,Merlin,Faucon émerillon
-0.177,0.123,-0.474,-0.163,0.018,-0.141,0,-16.2220215477006,-37.7492747432313,1.81629763897937,0.9578,MERL,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3580,6483,Merlin,Faucon émerillon
-0.047,0.057,-0.192,-0.038,0.036,-0.027,0,-4.59126024096289,-17.4693131508318,3.66558464909237,0.8294,MERL,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,3580,6483,Merlin,Faucon émerillon
0.014,0.012,-0.009,0.013,0.037,0.013,0,1.40984589384923,-0.895962122711635,3.76930208381572,0.8812,MERL,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3580,6483,Merlin,Faucon émerillon
0.022,0.022,-0.02,0.022,0.062,0.021,0,2.22437844704382,-1.98013266932447,6.39623447280337,0.8421,MERL,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3580,6483,Merlin,Faucon émerillon
0.014,0.047,-0.039,0.013,0.063,0.012,12.609,1.40984589384923,-3.82492908536333,6.50268392313054,0.7634,MERL,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,3580,6483,Merlin,Faucon émerillon
-0.012,0.042,-0.096,-0.012,0.067,-0.012,0,-1.19282871380695,-9.15359839312938,6.92954781746002,0.63,SACR,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,4010,3022,Sandhill Crane,Grue du Canada
0.111,0.158,-0.175,0.099,0.449,0.083,0,11.7394906854458,-16.0542979230793,56.6744657199451,0.7765,SACR,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,4010,3022,Sandhill Crane,Grue du Canada
0.053,0.057,-0.051,0.05,0.173,0.045,0,5.4429645119356,-4.9721329467573,18.8866105084032,0.8487,SACR,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,4010,3022,Sandhill Crane,Grue du Canada
-0.009,0.032,-0.083,-0.006,0.044,-0.002,0,-0.895962122711635,-7.96488527798753,4.49823548884438,0.5984,SPSA,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
-0.194,0.171,-0.595,-0.177,0.088,-0.148,0,-17.6342095731423,-44.843743413217,9.19881220281975,0.9159,SPSA,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
-0.034,0.046,-0.147,-0.028,0.038,-0.021,0,-3.34284953624934,-13.6706022583681,3.87312328784977,0.7863,SPSA,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.05,0.011,0.028,0.05,0.071,0.05,0,5.12710963760241,2.8395684421425,7.35812258683575,0.9993,SPSA,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.015,0.018,-0.019,0.015,0.049,0.015,0,1.51130646157189,-1.8820637757194,5.02203507400281,0.8025,SPSA,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.05,0.016,0.02,0.049,0.081,0.049,0,5.12710963760241,2.02013400267558,8.43708965667604,0.9955,SPSA,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.087,0.064,-0.02,0.08,0.234,0.072,0,9.08966797182778,-1.98013266932447,26.3644492207778,0.9487,GRYE,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,4420,3366,Greater Yellowlegs,Grand Chevalier
-0.101,0.085,-0.265,-0.104,0.073,-0.107,0,-9.60669671141359,-23.2794050024144,7.57305369147034,0.906,GRYE,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,4420,3366,Greater Yellowlegs,Grand Chevalier
0.012,0.037,-0.062,0.012,0.084,0.012,0,1.20722888660778,-6.01171132089111,8.76288938088261,0.6393,GRYE,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,4420,3366,Greater Yellowlegs,Grand Chevalier
0.021,0.03,-0.04,0.021,0.079,0.021,0,2.12220516375285,-3.92105608476768,8.22043220703148,0.7774,FRGU,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,5050,3519,Franklin's Gull,Mouette de Franklin
