mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
0.17,0.103,-0.03,0.167,0.391,0.163,0,18.5304851320365,-2.95544664514918,47.8458513413147,0.958,GREG,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,2580,4207,Great Egret,Grande Aigrette
-0.047,0.02,-0.087,-0.047,-0.008,-0.047,0,-4.59126024096289,-8.33229043668478,-0.796808516293934,0.9891,BCNH,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,2720,4275,Black-crowned Night-Heron,Bihoreau gris
-0.024,0.075,-0.17,-0.027,0.137,-0.03,0,-2.37142902420907,-15.6335183403616,14.6828148520398,0.6669,BCNH,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,2720,4275,Black-crowned Night-Heron,Bihoreau gris
0.101,0.078,-0.07,0.104,0.248,0.107,0,10.6276641763424,-6.76061800940517,28.1459932194021,0.9217,KILL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,4210,3180,Killdeer,Pluvier kildir
0.023,0.093,-0.172,0.025,0.204,0.029,0,2.32665395472176,-15.80208268315,22.6298153456211,0.6106,KILL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,4210,3180,Killdeer,Pluvier kildir
0.179,0.034,0.111,0.179,0.248,0.179,0,19.6020744167884,11.7394906854458,28.1459932194021,1,SPSA,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,4350,3356,Spotted Sandpiper,Chevalier grivelé
-0.04,0.028,-0.103,-0.038,0.01,-0.035,0,-3.92105608476768,-9.78730265184835,1.00501670841679,0.9473,SPSA,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.033,0.011,0.011,0.033,0.055,0.033,0,3.35505392413056,1.10607224447195,5.65406146754943,0.9984,RBGU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
0.024,0.013,-0.008,0.025,0.06,0.024,73.669,2.42903178906215,-0.796808516293934,6.18365465453596,0.9677,RBGU,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
0.052,0.011,0.03,0.052,0.074,0.052,0,5.33757425133647,3.04545339535169,7.68068054962199,1,HERG,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5170,3552,Herring Gull,Goéland argenté
-0.905,0.396,-1.871,-0.85,-0.279,-0.769,0.001,-59.5458114896981,-84.6030384810534,-24.3460096784953,0.9949,HERG,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5170,3552,Herring Gull,Goéland argenté
0.087,0.019,0.051,0.087,0.124,0.087,0,9.08966797182778,5.23228932832038,13.2015870999175,1,CATE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,5500,3659,Caspian Tern,Sterne caspienne
0.064,0,-0.163,0.064,18.269,0.057,5092692515.934,6.60923987615052,-15.040881158541,8592625517.25198,0.9988,CATE,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5500,3659,Caspian Tern,Sterne caspienne
0.008,0.015,-0.021,0.008,0.038,0.008,0,0.803208550427348,-2.07810354305404,3.87312328784977,0.7127,COTE,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5570,3672,Common Tern,Sterne pierregarin
-0.071,0.084,-0.241,-0.071,0.099,-0.07,0,-6.85381078724079,-21.4158373611654,10.4066299558882,0.8231,CHSW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,8040,2034,Chimney Swift,Martinet ramoneur
0.078,0.023,0.033,0.078,0.125,0.078,0,8.11226586700831,3.35505392413056,13.3148453066826,0.998,BEKI,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,9750,5593,Belted Kingfisher,Martin-pêcheur d'Amérique
