mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
0.22,0.232,-0.174,0.196,0.763,0.159,0,24.6076730587381,-15.9703102341569,114.470068103077,0.857,LEFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
0.022,0.095,-0.148,0.014,0.241,0.004,0,2.22437844704382,-13.7568885057954,27.2521035308229,0.5677,EAPH,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12300,8953,Eastern Phoebe,Moucherolle phébi
0.208,0.175,-0.079,0.186,0.637,0.155,0,23.1213169548868,-7.59600755549132,89.0799962303226,0.9226,EAPH,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,MX,12300,8953,Eastern Phoebe,Moucherolle phébi
0.157,0.203,-0.178,0.132,0.656,0.1,0,16.9995613900914,-16.3057576511232,92.7068622785935,0.8053,GCFL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,12450,9122,Great Crested Flycatcher,Tyran huppé
-0.033,0.151,-0.274,-0.054,0.342,-0.083,0,-3.2461440410968,-23.9667924739118,40.7760297514103,0.658,GCFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,12450,9122,Great Crested Flycatcher,Tyran huppé
0.059,0.146,-0.189,0.042,0.409,0.017,0,6.07752407401589,-17.2213493305266,50.531172048556,0.6385,EAKI,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,12720,9184,Eastern Kingbird,Tyran tritri
0.24,0.255,-0.189,0.211,0.851,0.162,0,27.1249150321405,-17.2213493305266,134.198766899138,0.8652,EAKI,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,12720,9184,Eastern Kingbird,Tyran tritri
0.091,0.058,-0.017,0.088,0.22,0.083,0,9.52690052584655,-1.68563153650904,24.6076730587381,0.9541,SOVI,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
0.179,0.13,-0.051,0.168,0.48,0.151,0,19.6020744167884,-4.9721329467573,61.6074402192893,0.9441,WAVI,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,ML,13460,9925,Warbling Vireo,Viréo mélodieux
0.312,0.253,-0.165,0.302,0.842,0.287,0,36.615469302948,-15.2106295912084,132.100434655864,0.9047,WAVI,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,13460,9925,Warbling Vireo,Viréo mélodieux
0.144,0.154,-0.13,0.132,0.503,0.115,0,15.4884108524914,-12.1904569079439,65.367486118276,0.8574,PHVI,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,13480,9924,Philadelphia Vireo,Viréo de Philadelphie
-0.039,0.15,-0.31,-0.051,0.304,-0.069,0,-3.82492908536333,-26.6553043775711,35.5269056089672,0.6425,BLJA,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,I,13640,10862,Blue Jay,Geai bleu
-0.134,0.308,-0.734,-0.145,0.539,-0.16,0,-12.5409935396666,-52.0014795733464,71.4291713040175,0.7175,BLJA,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,I,13640,10862,Blue Jay,Geai bleu
0.324,0.289,-0.179,0.298,1.007,0.265,0,38.264730711948,-16.3894100602964,173.737655483049,0.8989,TRES,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,14120,11959,Tree Swallow,Hirondelle bicolore
